Date,neural network output
2010-12-14,0.021721363
2010-12-15,0.010165155
2010-12-16,0.015671343
2010-12-17,0.0021308959
2010-12-20,3.0437663e-05
2010-12-21,0.11130187
2010-12-22,0.14112583
2010-12-23,0.9997965
2010-12-27,0.35958886
2010-12-28,0.182951
2010-12-29,0.0007879734
2010-12-30,0.00030899048
2010-12-31,0.25506437
2011-01-03,0.0002245307
2011-01-04,0.00021329522
2011-01-05,0.016304284
2011-01-06,0.0026023984
2011-01-07,0.08218241
2011-01-10,0.00079905987
2011-01-11,0.01239109
2011-01-12,0.00027871132
2011-01-13,7.2059236e-05
2011-01-14,0.0024451911
2011-01-18,0.0003324747
2011-01-19,0.2051692
2011-01-20,0.26934022
2011-01-21,0.00047186017
2011-01-24,0.35871345
2011-01-25,0.00031340122
2011-01-26,0.009735376
2011-01-27,6.457833e-05
2011-01-28,0.8947152
2011-01-31,0.040363908
2011-02-01,4.546553e-05
2011-02-02,3.685717e-06
2011-02-03,0.1067352
2011-02-04,0.46883485
2011-02-07,0.00013837218
2011-02-08,0.053772032
2011-02-09,6.6923785e-06
2011-02-10,0.0077002645
2011-02-11,0.016714841
2011-02-14,0.026376456
2011-02-15,0.030047238
2011-02-16,0.08678126
2011-02-17,0.0014666319
2011-02-18,0.002412945
2011-02-22,0.9668237
2011-02-23,0.038516015
2011-02-24,0.0019560456
2011-02-25,0.2141155
2011-02-28,0.0015293956
2011-03-01,0.8628568
2011-03-02,0.046544105
2011-03-03,1.7156808e-06
2011-03-04,0.0012581944
2011-03-07,0.783833
2011-03-08,0.033693075
2011-03-09,0.06170848
2011-03-10,0.85414547
2011-03-11,0.010174811
2011-03-14,0.5292478
2011-03-15,0.70272297
2011-03-16,0.28163594
2011-03-17,0.20680904
2011-03-18,0.0028522015
2011-03-21,0.0039750636
2011-03-22,0.0870851
2011-03-23,0.027792871
2011-03-24,0.08191359
2011-03-25,0.009643912
2011-03-28,0.25319934
2011-03-29,0.016899228
2011-03-30,0.0025147796
2011-03-31,0.003033191
2011-04-01,0.0005183816
2011-04-04,0.0006496906
2011-04-05,0.049511462
2011-04-06,0.08798033
2011-04-07,0.0002155602
2011-04-08,0.49128693
2011-04-11,0.035070688
2011-04-12,0.9708914
2011-04-13,0.008459985
2011-04-14,0.022079349
2011-04-18,0.9927279
2011-04-19,0.03773719
2011-04-20,0.012994647
2011-04-21,0.0033309162
2011-04-25,0.9227513
2011-04-26,0.5368471
2011-04-27,0.00045514107
2011-04-28,0.22763208
2011-04-29,0.1616863
2011-05-02,0.88087225
2011-05-03,0.6713859
2011-05-04,0.24178067
2011-05-05,0.98250985
2011-05-06,0.0011713803
2011-05-09,0.017218798
2011-05-10,0.017819524
2011-05-11,0.9886025
2011-05-12,0.02220884
2011-05-13,0.92619497
2011-05-16,0.9988407
2011-05-17,0.05006486
2011-05-18,0.07020819
2011-05-19,0.0013038814
2011-05-20,1.0
2011-05-23,0.8397014
2011-05-24,0.037821323
2011-05-25,0.0025385916
2011-05-26,0.011715353
2011-05-27,0.047066003
2011-05-31,0.08827129
2011-06-01,0.714917
2011-06-02,0.1264348
2011-06-03,0.00020995736
2011-06-06,0.96816266
2011-06-07,0.21718946
2011-06-08,0.6006886
2011-06-09,0.38535833
2011-06-10,0.8994956
2011-06-13,0.983522
2011-06-14,0.021289438
2011-06-15,0.99910796
2011-06-16,0.8450695
2011-06-17,0.13217565
2011-06-20,0.001252383
2011-06-21,0.015170544
2011-06-22,0.00090393424
2011-06-23,0.9905806
2011-06-24,0.8807756
2011-06-27,0.02067101
2011-06-28,4.015025e-05
2011-06-29,0.0008530021
2011-06-30,0.017779112
2011-07-01,0.059708297
2011-07-05,0.00733611
2011-07-06,0.0096022785
2011-07-07,0.3887263
2011-07-08,0.0020150542
2011-07-11,0.8755715
2011-07-12,0.21835127
2011-07-13,0.65846336
2011-07-14,0.8934766
2011-07-15,0.003565222
2011-07-18,0.9477091
2011-07-19,0.13904688
2011-07-20,4.9137507e-05
2011-07-21,0.0013765395
2011-07-22,0.008119643
2011-07-25,0.4671132
2011-07-26,0.82727677
2011-07-27,0.8723536
2011-07-28,0.7238269
2011-07-29,0.9046595
2011-08-01,0.0016804338
2011-08-02,0.86542726
2011-08-03,0.002319783
2011-08-04,0.9999395
2011-08-05,0.004651904
2011-08-08,0.5938863
2011-08-09,0.007086158
2011-08-10,0.9997972
2011-08-11,0.00068068504
2011-08-12,1.4627934e-08
2011-08-15,0.072086155
2011-08-16,0.3346597
2011-08-17,0.7126248
2011-08-18,0.8480226
2011-08-19,0.18062314
2011-08-22,0.13476488
